timestamp,species,tilenum,lon,lat,obs,fcst,assim_flag,kept
20150412_1800,8,3823,-119.69874572753906,56.93465042114258,0.3042825758457184,0.3074471056461334,1,False
20150412_1800,8,4813,-115.58916473388672,57.42535400390625,0.3271617591381073,0.2744305729866028,1,False
20150412_1800,8,5230,-114.1103744506836,54.43255615234375,0.3413979411125183,0.2774912714958191,1,False
20150412_1800,8,6548,-109.60177612304688,55.92334747314453,0.3623555898666382,0.2947840392589569,1,False
20150412_1800,8,9449,-100.95453643798828,52.600711822509766,0.36631157994270325,0.2976195514202118,1,False
20150412_1800,9,6548,-109.60177612304688,55.92334747314453,0.36820319294929504,0.2947840392589569,1,False
20150412_1800,9,9449,-100.95453643798828,52.600711822509766,0.37441393733024597,0.2976195514202118,1,False
20150413_0300,8,4813,-115.58917236328125,57.42535400390625,0.309391051530838,0.2726058065891266,1,False
20150413_0300,8,6548,-109.60177612304688,55.92334747314453,0.314878910779953,0.29492318630218506,1,False
20150413_0300,8,9449,-100.95453643798828,52.600711822509766,0.4143630862236023,0.2941701114177704,1,False
20150413_0300,9,9449,-100.95453643798828,52.600711822509766,0.38551613688468933,0.2941701114177704,1,False
20150413_0600,8,6548,-109.60177612304688,55.92334747314453,0.3481445014476776,0.2902694642543793,1,False
20150413_1500,9,9449,-100.95453643798828,52.600711822509766,0.368280291557312,0.3009295165538788,1,False
20150413_1800,8,4813,-115.58916473388672,57.425357818603516,0.33850809931755066,0.2767675817012787,1,False
20150413_1800,8,5230,-114.09286499023438,54.40664291381836,0.3168637454509735,0.2712497115135193,1,False
20150413_1800,8,6548,-109.60177612304688,55.9233512878418,0.35368573665618896,0.2878018915653229,1,False
20150413_1800,9,3823,-119.69874572753906,56.93465042114258,0.38262856006622314,0.3034907281398773,1,False
20150413_1800,9,9449,-100.95453643798828,52.600711822509766,0.391181081533432,0.3020888566970825,1,False
20150413_2100,9,3823,-119.69874572753906,56.93465805053711,0.370133638381958,0.30138492584228516,1,False
20150414_0300,8,9449,-100.95453643798828,52.600711822509766,0.3493569791316986,0.28912481665611267,1,False
20150414_0300,9,3823,-119.69876098632812,56.93465042114258,0.31521153450012207,0.2968163788318634,1,False
20150414_0300,9,4813,-115.58915710449219,57.42535400390625,0.27705061435699463,0.2756975293159485,1,False
20150414_0300,9,5230,-114.09286499023438,54.40664291381836,0.31797605752944946,0.2558862566947937,1,False
20150414_1800,8,5230,-114.09286499023438,54.406646728515625,0.3092673122882843,0.27056941390037537,1,False
20150414_1800,8,6548,-109.60177612304688,55.92334747314453,0.358759343624115,0.2830641567707062,1,False
20150414_1800,8,9449,-100.95453643798828,52.600711822509766,0.3654143214225769,0.294782429933548,1,False
20150414_1800,9,5230,-114.09286499023438,54.406646728515625,0.31620079278945923,0.27056941390037537,1,False
20150414_1800,9,9449,-100.95453643798828,52.600711822509766,0.3874446153640747,0.294782429933548,1,False
20150415_0300,8,9449,-100.95453643798828,52.600711822509766,0.3623073101043701,0.29522356390953064,1,False
20150415_0300,9,5230,-114.09286499023438,54.40664291381836,0.3148590326309204,0.27815011143684387,1,False
20150415_0300,9,6548,-109.60177612304688,55.92334747314453,0.43505704402923584,0.3069259226322174,1,False
20150415_0600,9,4813,-115.58915710449219,57.42535400390625,0.30890896916389465,0.27699095010757446,1,False
20150415_0600,9,5230,-114.09286499023438,54.40664291381836,0.3185393810272217,0.2781778872013092,1,False
20150415_1500,8,9449,-100.95453643798828,52.600711822509766,0.3680124282836914,0.30309799313545227,1,False
20150415_1800,8,9449,-100.95453643798828,52.600711822509766,0.35696378350257874,0.3058738708496094,1,False
20150415_1800,9,4813,-115.58916473388672,57.42535400390625,0.3460592031478882,0.28489750623703003,1,False
20150415_1800,9,5230,-114.09286499023438,54.40664291381836,0.32698702812194824,0.27620241045951843,1,False
20150415_1800,9,6548,-109.60177612304688,55.92334747314453,0.3798512816429138,0.3018620014190674,1,False
20150416_0300,8,4813,-115.58917236328125,57.42535400390625,0.3165251612663269,0.27458155155181885,1,False
20150416_0300,8,5230,-114.09286499023438,54.40664291381836,0.3136366903781891,0.26537296175956726,1,False
20150416_0300,8,9449,-100.92093658447266,52.63069534301758,0.2762241065502167,0.31284087896347046,1,False
20150416_0300,9,6548,-109.60177612304688,55.92334747314453,0.32887154817581177,0.28857672214508057,1,False
20150416_0300,9,9449,-100.95453643798828,52.600711822509766,0.3670644462108612,0.30154743790626526,1,False
20150416_0600,9,4813,-115.58915710449219,57.42535400390625,0.34920594096183777,0.27808624505996704,1,False
20150416_0600,9,5230,-114.09286499023438,54.40664291381836,0.3057701289653778,0.26904013752937317,1,False
20150416_1800,8,3823,-119.69874572753906,56.93465042114258,0.31406328082084656,0.29435691237449646,1,False
20150416_1800,8,4813,-115.58916473388672,57.42535400390625,0.34790268540382385,0.2833390235900879,1,False
20150416_1800,8,5230,-114.17323303222656,54.415863037109375,0.3423653542995453,0.27646130323410034,1,False
20150416_1800,8,9449,-100.95453643798828,52.600711822509766,0.41628244519233704,0.297669917345047,1,False
20150416_1800,9,4813,-115.54325866699219,57.34044647216797,0.4237578511238098,0.2974877655506134,1,False
20150416_1800,9,5230,-114.09286499023438,54.406646728515625,0.31775984168052673,0.2711755633354187,1,False
20150416_1800,9,6548,-109.6017837524414,55.9233512878418,0.39605051279067993,0.28712138533592224,1,False
20150417_0300,8,3823,-119.68120574951172,56.964683532714844,0.2545146942138672,0.2794173061847687,1,False
20150417_0300,8,4813,-115.58915710449219,57.42535400390625,0.29977715015411377,0.28163614869117737,1,False
20150417_0300,8,5230,-114.09286499023438,54.40664291381836,0.3009161651134491,0.2729344367980957,1,False
20150417_0300,8,6548,-109.60177612304688,55.92334747314453,0.36477169394493103,0.292974054813385,1,False
20150417_0300,9,6548,-109.60177612304688,55.92334747314453,0.3428855836391449,0.292974054813385,1,False
20150417_0300,9,9449,-100.95453643798828,52.600711822509766,0.3687064051628113,0.2950344681739807,1,False
20150417_0600,8,5230,-114.09286499023438,54.40664291381836,0.29111889004707336,0.2802174985408783,1,False
20150417_1500,9,9449,-100.95453643798828,52.600711822509766,0.3765823543071747,0.30419737100601196,1,False
20150417_1800,8,4813,-115.58916473388672,57.425357818603516,0.3428727388381958,0.28873011469841003,1,False
20150417_1800,8,5230,-114.09286499023438,54.40664291381836,0.3029968738555908,0.293996661901474,1,False
20150417_1800,8,6548,-109.60177612304688,55.92334747314453,0.3679390251636505,0.2942989468574524,1,False
20150417_1800,9,6548,-109.60177612304688,55.92334747314453,0.37638527154922485,0.2942989468574524,1,False
20150418_0300,8,9449,-100.95453643798828,52.600711822509766,0.36097729206085205,0.29369428753852844,1,False
20150418_0300,9,5230,-114.09286499023438,54.40664291381836,0.3052850663661957,0.28363344073295593,1,False
20150418_0300,9,9449,-100.95453643798828,52.600711822509766,0.36607664823532104,0.29369428753852844,1,False
20150418_0600,8,5230,-114.09286499023438,54.40664291381836,0.3051701784133911,0.28325167298316956,1,False
20150418_1500,9,9449,-100.95453643798828,52.600711822509766,0.31960853934288025,0.3126347064971924,1,False
20150418_1800,8,5230,-114.09286499023438,54.406646728515625,0.3171854019165039,0.28029027581214905,1,False
20150418_1800,8,6548,-109.60177612304688,55.9233512878418,0.38854333758354187,0.31967464089393616,1,False
20150418_1800,9,9449,-100.95453643798828,52.600711822509766,0.38448500633239746,0.3135264813899994,1,False
20150419_0300,8,6548,-109.60177612304688,55.92334747314453,0.26350224018096924,0.30960315465927124,1,False
20150419_0300,8,9449,-100.95453643798828,52.600711822509766,0.34102046489715576,0.30592164397239685,1,False
20150419_0300,9,4813,-115.58917236328125,57.42535400390625,0.31493908166885376,0.2950104773044586,1,False
20150419_0300,9,5230,-114.09286499023438,54.40664291381836,0.30170443654060364,0.27060040831565857,1,False
20150419_0300,9,6548,-109.62845611572266,55.872867584228516,0.3580274283885956,0.3182447552680969,1,False
20150419_1800,8,5230,-114.09286499023438,54.406646728515625,0.2951686382293701,0.2702719569206238,1,False
20150419_1800,8,6548,-109.60177612304688,55.92334747314453,0.3518504202365875,0.2987351417541504,1,False
20150419_1800,9,4813,-115.58916473388672,57.42535400390625,0.40315723419189453,0.28885123133659363,1,False
20150419_1800,9,5230,-114.09286499023438,54.406646728515625,0.30045026540756226,0.2702719569206238,1,False
20150420_0300,8,3823,-119.69876098632812,56.93465042114258,0.30782151222229004,0.2849006950855255,1,False
20150420_0300,9,4338,-117.43999481201172,59.57487106323242,0.43042781949043274,0.38333454728126526,1,False
